Word:			1	1b	2	2b	3	3b	4	4b	5	5b
spoil			0	0	0	0	2e-05	3e-05	2e-05	2e-05	3e-05	4e-05
brim			0	0	8e-05	0.00023	4e-05	0	0	0	0	7e-05
goods			2e-05	2e-05	6e-05	0.00013	2e-05	3e-05	2e-05	0	1e-05	0
saucy			0	0	0.00015	0.00027	0	0	0	0	0	0
vine			0	0	0	0	0	0	0	8e-05	0	0
'bring			0	0	0	0	0	0	0	0	0	0.00018
crossroads		0	0	0.00042	0	0	0	0	0	0	0
mis'			0	0	0	0	0.00011	0	0	0	0	0
oughtn'			0	0	0	0	0	0	0	0	0	0.00018
maddeningly		0.00016	0	0	0	0	0	0	6e-05	0	0
contractors		0	0	0	0	0	0	0	8e-05	0	0
drums			0	0	0.00017	0.00023	4e-05	0	0	3e-05	0	0
waxy			0	0	0	0	0	0	0	6e-05	0	0.00013
apologized		0	9e-05	0.00011	0	6e-05	0	0	0	0	0
fib			0	0	0	0	0	0	0.00011	0	0	0
poor			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fireplace		0	7e-05	0	0	0	0.00012	4e-05	6e-05	0	0
sentinels		0	0	0	0	0	0	0.00011	0	0	0
panes			0	0	0	0	7e-05	0	0	0	0.0001	0
caressed		0	0	0	0	0.00015	0	7e-05	0	0	0
'will			0	0	0	0	0	0	0	8e-05	0	0
garnished		0.00024	0	0	0	0	0	0	0	0	0
talks			1e-05	1e-05	1e-05	2e-05	0	1e-05	0.0	2e-05	1e-05	2e-05
parching		0	0	0	0	0.00011	0	0	0	0	0
bleed			0	0	0	0	0	0	0	8e-05	0	0
draping			0	0	0.00021	0	0	0	0	0	0	0
clover			0.00019	0	0	0	4e-05	0	4e-05	3e-05	0	0
cryin'			0	0	0	0	0	8e-05	0	8e-05	0	0.00019
mawnin'			0	9e-05	0	0	6e-05	0	0	0	0	0.00029
turns			0	0.00013	0	0	0	0	0	0	0.0001	0
prissing		0	0	0	0	0	0	0	8e-05	0	0
breaks			9e-05	7e-05	0	0	0	0	4e-05	0	6e-05	0
